Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700984625,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700984627,500,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700984632,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700984634,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700984635,1000,,Aggregated,0.000000,0.000000,8900,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,250,0,8913.529175000804,8944.916655739991,8913.529175000804,9039.501236000433,1351.0
1700984636,1000,,Aggregated,0.000000,0.000000,8900,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,250,0,8913.529175000804,8944.916655739991,8913.529175000804,9039.501236000433,1351.0
1700984637,1000,,Aggregated,25.000000,0.000000,9000,9000,9000,9200,12000,12000,12000,12000,12000,12000,12000,328,0,9000.0,9432.948772847529,2917.0545999986643,12279.644237998582,1351.0
1700984638,1000,,Aggregated,25.000000,0.000000,9000,9000,11000,12000,12000,13000,13000,13000,13000,13000,13000,355,0,9000.0,9695.844554588695,2917.0545999986643,13350.543340999138,1351.0
1700984640,1000,,Aggregated,33.100000,0.000000,9000,11000,12000,12000,14000,15000,15000,15000,15000,15000,15000,400,0,9000.0,10212.22622122998,2917.0545999986643,14760.841901001186,1351.0
1700984642,1000,,Aggregated,38.000000,0.000000,9000,11000,12000,12000,14000,15000,15000,17000,17000,17000,17000,414,0,9000.0,10131.693558367122,2718.187329999637,16894.998325000415,1351.0
1700984643,1000,,Aggregated,40.000000,0.000000,9000,12000,13000,14000,17000,18000,18000,18000,18000,18000,18000,540,0,9000.0,10475.108493520343,764.0286810001271,18047.37110199858,1351.0
1700984644,1000,,Aggregated,40.000000,0.000000,9000,12000,14000,15000,17000,18000,19000,19000,19000,19000,19000,640,0,9000.0,9940.49296531562,764.0286810001271,19142.10375499897,1351.0
1700984645,1000,,Aggregated,41.400000,0.000000,9000,12000,14000,15000,17000,18000,18000,19000,19000,19000,19000,679,0,9000.0,9633.434168954334,764.0286810001271,19142.10375499897,1351.0
1700984647,1000,,Aggregated,39.300000,0.000000,9000,12000,14000,15000,18000,18000,18000,19000,19000,19000,19000,817,0,9000.0,9466.374064121177,758.6000009996496,19142.10375499897,1351.0
1700984648,1000,,Aggregated,42.900000,0.000000,9000,12000,14000,14000,17000,18000,18000,19000,19000,19000,19000,897,0,9000.0,9124.965861701232,465.0127210006758,19142.10375499897,1351.0
1700984650,1000,,Aggregated,53.400000,0.000000,9000,12000,14000,14000,17000,18000,18000,19000,19000,19000,19000,960,0,9000.0,8992.869791014591,465.0127210006758,19142.10375499897,1351.0
1700984653,1000,,Aggregated,56.000000,0.000000,9000,13000,14000,17000,17000,18000,18000,19000,19000,19000,19000,1110,0,9000.0,9128.415974719823,465.0127210006758,19142.10375499897,1351.0
1700984655,1000,,Aggregated,65.200000,0.000000,9000,14000,17000,17000,18000,20000,20000,20000,20000,21000,21000,1320,7,9000.0,9466.70010555454,465.0127210006758,20969.14313399975,1343.835606060606
1700984657,1000,,Aggregated,65.200000,0.000000,9000,14000,17000,17000,18000,20000,20000,20000,20000,21000,21000,1320,7,9000.0,9466.70010555454,465.0127210006758,20969.14313399975,1343.835606060606
